address,loc_Latitude,loc_Longitude
8481 Foster Drive,42.681621,-79.577835
2163 Sarah Inlet Suite 927,43.342934,-81.936887
25623 Scott Extensions,43.082667,-79.441943
190 Courtney Brook,42.074769,-80.3317
0549 Susan Fields Suite 973,42.762376,-80.968839
92252 Diane Flat,43.801198,-79.230558
8707 Doyle Drive Apt. 256,42.378597,-80.848284
09876 Tyler Vista,43.299186,-79.088322
176 Larson View Suite 094,42.792292,-79.068859
74829 Clarke Park,43.858905,-81.773884
62545 Alexis Underpass Apt. 452,43.082667,-79.441943
198 Dana Junctions,42.550438,-79.706379
254 Natalie Harbor,42.660316,-81.559373
05179 Lisa Drive,42.719299,-81.811015
08186 Briggs Path Apt. 893,42.634322,-79.433891
88469 Margaret Shore,43.589186,-80.147774
161 Berry Falls Suite 287,42.959716,-79.102158
419 Davis Centers Suite 321,43.342934,-81.936887
6561 James Junctions Suite 693,43.903584,-79.778909
31396 Lauren Lodge,42.964411,-79.739364
056 Sharon Lake,42.88503,-80.725574
597 Matthews Dam Apt. 675,43.801198,-79.230558
0324 Claudia Tunnel Apt. 292,42.92488,-81.201384
764 Moyer Groves,43.858905,-81.773884
9486 Nancy Keys,43.166458,-79.373991
4876 Williams Harbor Apt. 516,42.816136,-81.618908
55401 Stanley Plaza Suite 740,42.868551,-81.819438
0976 Conway Route Apt. 897,42.959716,-79.102158
6685 Farley Locks,42.550438,-79.706379
2314 Anderson Coves Suite 102,43.755717,-81.353865
186 Debra Village Suite 696,42.792292,-79.068859
47568 Megan Village Apt. 490,42.816136,-81.618908
9968 Estes Inlet Suite 797,42.762376,-80.968839
4777 Lisa Flat,42.792292,-79.068859
248 Aaron Wall Suite 624,42.572854,-81.183293
456 Carrie Dale Apt. 861,42.816136,-81.618908
22777 Rush Key,42.816136,-81.618908
288 Benjamin Inlet,43.166458,-79.373991
8344 Belinda Well Apt. 478,42.762376,-80.968839
6402 Reid Ford,42.074769,-80.3317
4853 Gail Shoals,43.606297,-79.997105
792 Perez Place,42.074769,-80.3317
45590 Brown Prairie,42.959716,-79.102158
19544 Roger Shore Apt. 766,42.652407,-81.90207
000 Carney Circle,42.816136,-81.618908
85583 Courtney Village Apt. 623,43.424948,-80.718568
98184 Knight Underpass,42.525659,-79.881516
74304 Kevin Trail,43.755717,-81.353865
2265 Christopher Crescent Suite 466,42.52622,-80.733885
0769 Michael Springs,42.969899,-79.359725
1254 Mason Forks Apt. 495,42.7965,-79.184964
58655 Warner Divide Suite 874,42.936503,-79.765705
861 Gibson Square Apt. 265,42.939283,-79.498154
0140 Smith Heights Suite 124,42.178051,-81.253546
491 Jennifer Parkway,42.684534,-81.702607
706 Morgan Road,43.166458,-79.373991
66057 Bradford Ramp,43.606297,-79.997105
970 Smith Wells Suite 905,42.08665,-81.000876
8830 Wise Forest Apt. 322,43.903584,-79.778909
8037 Pamela Heights Suite 686,43.234456,-80.914763
20131 Bradley Ways,43.589186,-80.147774
73055 Dylan Pass Suite 936,43.903584,-79.778909
726 Michael Via Suite 090,43.903584,-79.778909
471 Holloway Road,42.550438,-79.706379
34980 Jones Inlet Apt. 469,42.922154,-80.401099
9072 Sherman Loop,42.762376,-80.968839
00983 Pamela Springs,42.30092,-79.659085
47274 Melinda Prairie,43.858905,-81.773884
61988 Tony Isle,43.606297,-79.997105
738 Garner Bypass,42.88503,-80.725574
1870 Jennifer Village Suite 635,43.342934,-81.936887
5073 Scott Groves Suite 909,42.681621,-79.577835
50441 Wagner Vista Apt. 998,43.71033,-80.210179
006 Scott Mountain Suite 766,43.313066,-80.308129
3347 White Street,43.582744,-80.71969
454 Darlene Port Apt. 418,43.352169,-80.23056
992 Simmons Isle Suite 434,43.606297,-79.997105
3600 Tamara Circle Apt. 910,42.52622,-80.733885
8840 Grant Valley Suite 846,42.652407,-81.90207
38536 Richardson Green,42.652407,-81.90207
849 Barrera Villages,42.964411,-79.739364
532 Pugh Wells,43.082667,-79.441943
786 Stacey Rest Apt. 634,42.762376,-80.968839
898 David Squares,42.969899,-79.359725
8984 Moore Junctions Apt. 841,42.178051,-81.253546
54047 Eric Station Apt. 446,43.589186,-80.147774
5797 Aaron Well,42.684534,-81.702607
207 Beth Alley,42.525659,-79.881516
5795 Danielle Ways,43.801198,-79.230558
3461 Samuel Wells Apt. 182,42.696686,-81.761628
567 Dean Ways Apt. 733,42.572854,-81.183293
30025 Cynthia Bypass Apt. 688,42.780416,-79.083087
2845 Miller Harbors Suite 164,43.801198,-79.230558
598 Thomas Springs,42.652407,-81.90207
9339 Autumn Burg Suite 220,42.922154,-80.401099
2450 Lozano Spring,43.201659,-79.956997
75132 Johnson Ports Apt. 406,42.922154,-80.401099
73551 Lopez Loaf,42.719299,-81.811015
317 Robinson Mount Suite 187,43.71033,-80.210179
5887 Javier Fort Apt. 356,42.922154,-80.401099
322 Medina River,43.801198,-79.230558
5113 Webb Springs,42.762376,-80.968839
477 Smith Meadow Apt. 029,42.936503,-79.765705
293 Williams Underpass,43.082667,-79.441943
6469 Crystal Crossroad,43.313066,-80.308129
209 Erika Land,42.696686,-81.761628
342 Alvarez Shore Apt. 121,43.424948,-80.718568
20611 Wheeler Pine,42.52622,-80.733885
95234 Mark Islands Suite 200,43.582744,-80.71969
97711 Leblanc Plains Apt. 306,43.234456,-80.914763
30538 Carrie Pike Apt. 628,42.074769,-80.3317
553 Anderson Ridge Apt. 584,43.871255,-81.244294
149 Oliver Ridge Suite 571,43.606297,-79.997105
18669 Jackson Mount Suite 376,43.082667,-79.441943
44067 Thompson Crescent,42.490757,-81.88675
039 Johnson Bypass Apt. 537,43.24044,-80.538678
201 Smith Forest Apt. 281,42.964411,-79.739364
2894 Kenneth Roads,42.634322,-79.433891
4859 Isaac Squares,43.234456,-80.914763
26939 Mathews Throughway Suite 744,42.7965,-79.184964
34229 Earl Squares Apt. 712,43.082667,-79.441943
920 Ashley Club,43.755717,-81.353865
251 Barnett Parks,43.71033,-80.210179
664 Austin Extension,42.634322,-79.433891
457 Bobby Lights Suite 545,42.868551,-81.819438
300 Lloyd Causeway,42.92488,-81.201384
991 Deborah Crescent,42.719299,-81.811015
150 Tina Shoals Apt. 638,42.936503,-79.765705
943 Williams Flat Apt. 054,42.572854,-81.183293
8446 Swanson Plaza Suite 553,42.964411,-79.739364
3871 Castaneda Pines Apt. 351,42.30092,-79.659085
720 Wells Street,43.858905,-81.773884
74004 Knight Manor,42.074769,-80.3317
44769 Alexander Meadow Apt. 850,42.550438,-79.706379
41292 Conway Cape,43.342934,-81.936887
82905 Douglas Plains Suite 291,42.92488,-81.201384
72086 Thomas Port,42.696686,-81.761628
684 Maldonado Fork Apt. 229,42.868551,-81.819438
560 Stephen Route,43.166458,-79.373991
616 Yvette Islands,43.858905,-81.773884
546 Clark Mall,42.52622,-80.733885
6409 Johnson Plaza Suite 999,42.52622,-80.733885
60267 Howard Street Suite 857,42.684534,-81.702607
5314 Mcdonald Throughway,42.30092,-79.659085
10865 Michael Ranch Suite 245,42.816136,-81.618908
8897 Castaneda Way Apt. 829,42.30092,-79.659085
3258 Chase Motorway Apt. 151,42.959716,-79.102158
2833 Paul Brook Suite 688,43.424948,-80.718568
362 Caitlin Corners Apt. 661,43.871255,-81.244294
6038 Luis Parkways,43.234456,-80.914763
8162 Carroll Shoals,42.719299,-81.811015
000 Kane Expressway,42.074769,-80.3317
1247 Grace Islands Apt. 246,43.755717,-81.353865
74873 Joshua Tunnel,42.681621,-79.577835
976 Zavala Bypass Apt. 693,42.681621,-79.577835
7389 Laura Manors Apt. 072,42.7965,-79.184964
62001 Mallory Extension,42.939283,-79.498154
8047 Wilson Trail,42.868551,-81.819438
2225 Gibson Islands Apt. 616,42.959716,-79.102158
568 Lopez Avenue Suite 305,43.234456,-80.914763
817 Shaw Roads Suite 346,42.780416,-79.083087
15475 Erik Islands Suite 321,43.589186,-80.147774
52323 Mercer Skyway Apt. 291,42.660316,-81.559373
24104 Melissa Village,42.572854,-81.183293
15565 Jacobs Crest,42.964411,-79.739364
53104 Lambert Field Suite 907,42.922154,-80.401099
1673 Townsend Turnpike,43.582744,-80.71969
47622 Lauren Way,42.922154,-80.401099
745 Dana River Suite 513,42.868551,-81.819438
51773 Holmes Fords Apt. 149,42.964411,-79.739364
156 Fox Crossroad,43.299186,-79.088322
18825 Powers Trail,42.30092,-79.659085
670 Vanessa Cape,42.88503,-80.725574
202 Nathaniel Port Apt. 170,42.696686,-81.761628
007 Tiffany Haven Suite 378,42.178051,-81.253546
757 Valerie Shores,42.92488,-81.201384
42875 Green Rapid,42.525659,-79.881516
70843 Thompson Course Suite 914,43.424948,-80.718568
9465 Karen Estates Apt. 314,42.762376,-80.968839
9820 Susan Groves,43.71033,-80.210179
869 Jeremy Motorway,42.684534,-81.702607
7807 Thomas Island Apt. 515,42.868551,-81.819438
5112 Campbell Mount,42.816136,-81.618908
378 Rodriguez Avenue,43.903584,-79.778909
677 Carolyn Way,42.08665,-81.000876
19507 Melissa Street,42.490757,-81.88675
98926 Baker Roads,43.871255,-81.244294
91974 Gonzalez Keys,42.178051,-81.253546
845 Jennifer Underpass,42.959716,-79.102158
442 Reynolds Expressway,42.922154,-80.401099
03090 Sweeney Drives Suite 495,42.681621,-79.577835
68341 Christy Village,43.589186,-80.147774
389 Michael Drive Suite 565,43.352169,-80.23056
5333 Patrick Route,42.30092,-79.659085
082 Corey Coves,42.816136,-81.618908
590 Bernard Creek Apt. 744,42.7965,-79.184964
78936 Lopez Freeway Apt. 599,42.378597,-80.848284
8877 Singleton Greens,43.582744,-80.71969
447 Alyssa Radial Apt. 946,42.681621,-79.577835
312 Kristy Glen,42.30092,-79.659085
226 Patel Ridge Suite 602,42.30092,-79.659085
12582 Walter Mountain,42.378597,-80.848284
30407 Johnson Road Suite 780,43.71033,-80.210179
042 Donald Circles Apt. 738,43.606297,-79.997105
025 Carpenter Motorway,42.816136,-81.618908
39456 Hawkins Trail,42.634322,-79.433891
96285 Morrison Dam,43.082667,-79.441943
42005 Mullen Spring,43.801198,-79.230558
916 West Mountain Apt. 223,43.24044,-80.538678
925 Ramirez Road,42.969899,-79.359725
19362 Payne Causeway Suite 534,42.969899,-79.359725
685 Tom Divide Apt. 622,42.572854,-81.183293
278 Price Rest,43.342934,-81.936887
6998 Colton Course Suite 685,42.719299,-81.811015
66456 Katherine Place,42.762376,-80.968839
480 Matthew Ville Suite 854,42.525659,-79.881516
21478 Corey Mountains,42.30092,-79.659085
0500 Riley Wells,43.606297,-79.997105
3716 Weiss Mill Apt. 724,42.684534,-81.702607
345 Poole Prairie Suite 418,42.652407,-81.90207
1344 Peterson Springs,43.313066,-80.308129
8265 Fischer Tunnel,43.234456,-80.914763
87065 Gallegos Landing Apt. 450,42.92488,-81.201384
66337 Julie Cape Apt. 093,42.816136,-81.618908
992 Fowler Hills,43.903584,-79.778909
32944 Carter River Apt. 361,42.7965,-79.184964
517 Gonzalez Orchard,42.959716,-79.102158
939 Smith Centers,42.969899,-79.359725
9466 Hoffman Divide Suite 684,42.684534,-81.702607
556 Kaylee Fords,43.342934,-81.936887
213 Brandon Extensions Suite 945,42.660316,-81.559373
199 Tamara Forks Suite 830,42.660316,-81.559373
0768 Hector Trace,42.88503,-80.725574
183 Morton Center,42.922154,-80.401099
1813 Garrett Mill,43.582744,-80.71969
9526 Jones Lodge Apt. 826,42.969899,-79.359725
08230 Miranda Motorway,43.755717,-81.353865
42222 Henry Plains Suite 504,43.342934,-81.936887
358 Dodson Passage,42.969899,-79.359725
12848 Navarro Turnpike Suite 366,42.959716,-79.102158
36919 Johnston Grove Apt. 519,43.342934,-81.936887
18089 Cook Prairie Suite 736,42.696686,-81.761628
2483 Walker Road,42.922154,-80.401099
5854 Cindy Villages Apt. 913,42.660316,-81.559373
5698 Joel Trail Apt. 253,42.30092,-79.659085
9827 Jeffrey Valleys,43.582744,-80.71969
455 Stephens Landing,42.08665,-81.000876
81082 Albert Manors Apt. 771,42.52622,-80.733885
9058 Jonathan Via,42.074769,-80.3317
657 Rasmussen Prairie Suite 092,43.352169,-80.23056
