food_name,country_of_origin
Risotto,bhutan
Meatballs,panama
Fettuccine Alfredo,jordan
Lamb Roast,turks-and-caicos-islands
Ratatouille,kuwait
Borscht,paraguay
Ramen,djibouti
Ratatouille,syria
Lasagna,bahamas-the
Pasta,northern-mariana-islands
Gelato,vanuatu
Sticky Rice,syria
Shepherd's Pie,isle-of-man
Pad Thai,somalia
Arepas,vanuatu
Harira,poland
Coleslaw,senegal
Falafel,bosnia-and-herzegovina
Spring Rolls,venezuela
Shawarma,nepal
Cornbread,tajikistan
Bratwurst,morocco
Clam Chowder,malawi
Coleslaw,west-bank
Pho,antigua-and-barbuda
Kimchi,nigeria
Crepes,thailand
Quiche,el-salvador
Moussaka,greenland
Borscht,sweden
Pierogi,united-kingdom
Salad,namibia
Udon,malta
Arepas,kuwait
Fufu,macau
Nasi Goreng,sudan
Empanadas,guinea
Pho,comoros
Hotdog,puerto-rico
Harira,puerto-rico
Jollof Rice,maldives
Gelato,kazakhstan
Moussaka,lesotho
Cornbread,china
Vindaloo,finland
Pozole,malaysia
Poke Bowl,italy
Gnocchi,austria
Pancakes,egypt
Vindaloo,bhutan
Omelette,curacao
Lamb Roast,burkina-faso
Khachapuri,yemen
Plantains,korea-north
Pizza,dominican-republic
Churros,turkmenistan
Kebab,somalia
Tempura,seychelles
Fish and Chips,saint-lucia
Dolma,qatar
Tabbouleh,thailand
Bento Box,mexico
Fried Chicken,oman
Poke Bowl,afghanistan
Cornbread,guinea
Burger,costa-rica
Tortilla,albania
Macarons,equatorial-guinea
Baguette,brunei
Lasagna,germany
Croissant,bangladesh
Crepes,dominican-republic
Vindaloo,united-states
Roti,congo-republic-of-the
Cheesecake,kenya
Quiche,croatia
Shakshuka,nicaragua
Roti,papua-new-guinea
Quiche,india
Hummus,botswana
Burger,malawi
Gumbo,faroe-islands
Biryani,virgin-islands
Crepes,zambia
Gelato,cayman-islands
Carrot Cake,sri-lanka
Borscht,mali
Steak,russia
Cheesecake,china
Fufu,hong-kong
Arepas,djibouti
Bento Box,spain
Cornbread,canada
Ratatouille,eswatini
Quiche,aruba
Steak,estonia
Udon,mauritania
Fish and Chips,mauritania
Carrot Cake,cayman-islands
Fried Chicken,zambia
Tacos,eritrea
Sticky Rice,pakistan
Coleslaw,costa-rica
Miso Soup,ireland
Sticky Rice,botswana
Samosa,united-states
Fish and Chips,new-zealand
Shakshuka,virgin-islands
Satay,bahamas-the
Curry,antigua-and-barbuda
Churros,korea-south
Barbecue Ribs,central-african-republic
Coleslaw,ireland
Banoffee Pie,portugal
Fish and Chips,eswatini
Plantains,india
Tonkatsu,panama
Miso Soup,zambia
Pasta,solomon-islands
Tamales,costa-rica
Bento Box,costa-rica
Pho,montenegro
Fish and Chips,poland
Laksa,saint-vincent-and-the-grenadines
Fried Chicken,new-caledonia
Pancakes,ireland
Plantains,iran
Bao,saint-kitts-and-nevis
Haggis,sudan
Laksa,rwanda
Shakshuka,peru
Tamales,samoa
Tempura,barbados
Gnocchi,sao-tome-and-principe
Curry,guernsey
Quiche,solomon-islands
Risotto,nicaragua
Gumbo,isle-of-man
Tacos,malta
Jollof Rice,new-zealand
Clam Chowder,burundi
Arepas,saint-kitts-and-nevis
Lamb Roast,turkey-turkiye
Bento Box,burundi
Salad,somalia
Curry,burkina-faso
Goulash,spain
Tortilla,ecuador
Goulash,antigua-and-barbuda
Laksa,russia
Steamed Buns,australia
Steamed Buns,djibouti
Gumbo,chad
Fish and Chips,kenya
Falafel,panama
Carrot Cake,egypt
Miso Soup,china
Jambalaya,gabon
Udon,nepal
Jambalaya,czechia
Omelette,cabo-verde
Chow Mein,greenland
Bao,bahamas-the
Baklava,solomon-islands
Satay,haiti
Bratwurst,finland
Salad,botswana
Cheesecake,colombia
Pho,belgium
Ceviche,seychelles
Meatballs,bermuda
Falafel,united-states
Gumbo,mongolia
Salad,malaysia
Spring Rolls,tajikistan
Ratatouille,guam
Crepes,sierra-leone
Goulash,mozambique
Pizza,iran
Bratwurst,slovenia
Steak,guinea-bissau
Pierogi,nicaragua
Tamales,south-sudan
Miso Soup,malta
Risotto,equatorial-guinea
Lasagna,micronesia-federated-states-of
Arepas,kenya
Poke Bowl,lithuania
Bratwurst,philippines
Pad Thai,gambia-the
French Fries,kazakhstan
Omelette,benin
Meatballs,pakistan
Bratwurst,french-polynesia
Falafel,austria
Jambalaya,bermuda
Miso Soup,iran
Omelette,malaysia
Ratatouille,chad
Cornbread,estonia
Baguette,congo-democratic-republic-of-the
Salad,ecuador
Barbecue Ribs,iraq
Pho,portugal
Pancakes,burundi
Coleslaw,uruguay
Hummus,curacao
Salad,brazil
Samosa,trinidad-and-tobago
Borscht,cyprus
Barbecue Ribs,west-bank
Barbecue Ribs,israel
Crepes,turkmenistan
Borscht,china
Tabbouleh,antigua-and-barbuda
Haggis,cote-divoire
Baguette,italy
Bratwurst,rwanda
Curry,lebanon
Banoffee Pie,uruguay
Spring Rolls,cyprus
Pad Thai,dominican-republic
Quiche,guinea-bissau
Steamed Buns,cambodia
Kimchi,chile
Arepas,kazakhstan
Jollof Rice,jersey
Samosa,georgia
Spring Rolls,hungary
Risotto,romania
Tempura,cayman-islands
Miso Soup,congo-democratic-republic-of-the
Fried Chicken,bermuda
Cassoulet,kenya
Paella,curacao
Pad Thai,sweden
Croissant,pakistan
Pierogi,bosnia-and-herzegovina
Satay,bolivia
Pad Thai,czechia
Pierogi,hong-kong
Lasagna,oman
Jambalaya,yemen
Churros,grenada
Pozole,botswana
Dolma,sri-lanka
Risotto,madagascar
Churros,latvia
Moussaka,aruba
Pasta,switzerland
French Fries,lithuania
Risotto,malaysia
Falafel,moldova
Nasi Goreng,jamaica
Pierogi,curacao
Samosa,zimbabwe
Goulash,congo-democratic-republic-of-the
Samosa,cameroon
Curry,united-arab-emirates
Pizza,saint-vincent-and-the-grenadines
Croissant,malta
Laksa,kazakhstan
Salad,jordan
Arepas,cote-divoire
Croissant,vietnam
Jambalaya,belgium
Tonkatsu,serbia
Salad,mozambique
French Fries,kenya
Baguette,armenia
Steak,lithuania
Crepes,israel
Hummus,solomon-islands
Poke Bowl,china
Gnocchi,uzbekistan
Banoffee Pie,malawi
Banoffee Pie,montenegro
Hotdog,fiji
Fettuccine Alfredo,aruba
Gnocchi,new-caledonia
Satay,guyana
Falafel,burkina-faso
Chow Mein,congo-democratic-republic-of-the
Khachapuri,costa-rica
Kimchi,dominican-republic
Harira,tonga
Sushi,guinea
Biryani,estonia
Biryani,niger
Pozole,mauritania
Laksa,nepal
Crepes,philippines
Nasi Goreng,philippines
Arepas,vietnam
Jambalaya,cayman-islands
Harira,canada
French Fries,cabo-verde
Haggis,slovakia
Pierogi,south-sudan
Meatballs,malawi
