franchise_Name,franchise,franchise_address
Chipotle,True,22777 Rush Key
Shake Shack,False,20131 Bradley Ways
Dunkin',True,6561 James Junctions Suite 693
Shake Shack,True,517 Gonzalez Orchard
IHOP,True,764 Moyer Groves
Applebee's,True,5698 Joel Trail Apt. 253
Domino's,True,039 Johnson Bypass Apt. 537
Cracker Barrel,True,6038 Luis Parkways
Five Guys,False,207 Beth Alley
Arby's,True,745 Dana River Suite 513
Sonic Drive-In,True,4859 Isaac Squares
Panera Bread,False,2894 Kenneth Roads
IHOP,True,916 West Mountain Apt. 223
Dunkin',True,81082 Albert Manors Apt. 771
Cracker Barrel,True,9072 Sherman Loop
Burger King,True,30407 Johnson Road Suite 780
Wendy's,True,007 Tiffany Haven Suite 378
Shake Shack,True,26939 Mathews Throughway Suite 744
Starbucks,True,42875 Green Rapid
Subway,True,85583 Courtney Village Apt. 623
Taco Bell,False,1870 Jennifer Village Suite 635
IHOP,True,042 Donald Circles Apt. 738
Dunkin',False,31396 Lauren Lodge
Red Lobster,True,66057 Bradford Ramp
Tim Hortons,True,532 Pugh Wells
Pizza Hut,False,2845 Miller Harbors Suite 164
Tim Hortons,True,5112 Campbell Mount
Dunkin',False,5112 Campbell Mount
Subway,True,358 Dodson Passage
Panera Bread,True,447 Alyssa Radial Apt. 946
Popeyes,True,161 Berry Falls Suite 287
Subway,True,2450 Lozano Spring
Chipotle,True,5887 Javier Fort Apt. 356
Domino's,True,670 Vanessa Cape
Pizza Hut,False,209 Erika Land
Subway,True,3258 Chase Motorway Apt. 151
Little Caesars,True,849 Barrera Villages
Pizza Hut,True,161 Berry Falls Suite 287
Tim Hortons,False,726 Michael Via Suite 090
Outback Steakhouse,True,991 Deborah Crescent
Panera Bread,True,6685 Farley Locks
KFC,True,8984 Moore Junctions Apt. 841
Pizza Hut,True,567 Dean Ways Apt. 733
Red Lobster,True,278 Price Rest
Wendy's,True,3347 White Street
McDonald's,True,456 Carrie Dale Apt. 861
Subway,False,55401 Stanley Plaza Suite 740
Tim Hortons,True,00983 Pamela Springs
Sonic Drive-In,True,616 Yvette Islands
Outback Steakhouse,True,51773 Holmes Fords Apt. 149
Sonic Drive-In,True,757 Valerie Shores
Shake Shack,True,00983 Pamela Springs
Dunkin',True,677 Carolyn Way
Cheesecake Factory,True,226 Patel Ridge Suite 602
Cracker Barrel,True,5314 Mcdonald Throughway
Popeyes,False,45590 Brown Prairie
Tim Hortons,True,61988 Tony Isle
Subway,True,2163 Sarah Inlet Suite 927
Pizza Hut,True,0549 Susan Fields Suite 973
Cheesecake Factory,True,6469 Crystal Crossroad
Starbucks,True,186 Debra Village Suite 696
KFC,True,300 Lloyd Causeway
Shake Shack,True,2894 Kenneth Roads
IHOP,True,471 Holloway Road
Little Caesars,True,3461 Samuel Wells Apt. 182
Taco Bell,False,553 Anderson Ridge Apt. 584
Chipotle,True,2265 Christopher Crescent Suite 466
Cracker Barrel,True,8162 Carroll Shoals
Outback Steakhouse,True,3716 Weiss Mill Apt. 724
Popeyes,True,738 Garner Bypass
Cracker Barrel,False,546 Clark Mall
Outback Steakhouse,True,491 Jennifer Parkway
Little Caesars,True,62001 Mallory Extension
Popeyes,True,213 Brandon Extensions Suite 945
Applebee's,True,720 Wells Street
Sonic Drive-In,False,0140 Smith Heights Suite 124
Shake Shack,True,60267 Howard Street Suite 857
McDonald's,True,5795 Danielle Ways
Panera Bread,True,52323 Mercer Skyway Apt. 291
Chick-fil-A,True,2450 Lozano Spring
Buffalo Wild Wings,True,8707 Doyle Drive Apt. 256
Chili's,True,98926 Baker Roads
Outback Steakhouse,False,3871 Castaneda Pines Apt. 351
Arby's,True,44067 Thompson Crescent
Shake Shack,False,62001 Mallory Extension
Popeyes,True,457 Bobby Lights Suite 545
Cheesecake Factory,False,30538 Carrie Pike Apt. 628
Outback Steakhouse,True,792 Perez Place
McDonald's,True,82905 Douglas Plains Suite 291
Starbucks,True,198 Dana Junctions
Olive Garden,True,58655 Warner Divide Suite 874
Panera Bread,True,726 Michael Via Suite 090
TGI Friday's,True,943 Williams Flat Apt. 054
TGI Friday's,True,38536 Richardson Green
KFC,True,8481 Foster Drive
Taco Bell,True,546 Clark Mall
Sonic Drive-In,True,61988 Tony Isle
Starbucks,True,19362 Payne Causeway Suite 534
TGI Friday's,True,18669 Jackson Mount Suite 376
Ruby Tuesday,False,55401 Stanley Plaza Suite 740
Little Caesars,False,54047 Eric Station Apt. 446
Tim Hortons,True,20131 Bradley Ways
Cracker Barrel,True,3258 Chase Motorway Apt. 151
Popeyes,False,92252 Diane Flat
Little Caesars,True,2225 Gibson Islands Apt. 616
Little Caesars,True,664 Austin Extension
Five Guys,False,62545 Alexis Underpass Apt. 452
Starbucks,True,0324 Claudia Tunnel Apt. 292
Chili's,True,447 Alyssa Radial Apt. 946
Arby's,True,590 Bernard Creek Apt. 744
Buffalo Wild Wings,True,88469 Margaret Shore
Red Lobster,True,1870 Jennifer Village Suite 635
Olive Garden,True,322 Medina River
Starbucks,True,78936 Lopez Freeway Apt. 599
Pizza Hut,True,3600 Tamara Circle Apt. 910
Sonic Drive-In,False,96285 Morrison Dam
McDonald's,True,006 Scott Mountain Suite 766
Pizza Hut,False,0324 Claudia Tunnel Apt. 292
Ruby Tuesday,False,477 Smith Meadow Apt. 029
Cheesecake Factory,True,12848 Navarro Turnpike Suite 366
KFC,True,477 Smith Meadow Apt. 029
Texas Roadhouse,True,38536 Richardson Green
Pizza Hut,True,52323 Mercer Skyway Apt. 291
Red Lobster,True,18825 Powers Trail
Red Lobster,False,3600 Tamara Circle Apt. 910
Olive Garden,False,42875 Green Rapid
Olive Garden,True,9526 Jones Lodge Apt. 826
Panera Bread,False,34980 Jones Inlet Apt. 469
Chili's,True,849 Barrera Villages
Panera Bread,True,442 Reynolds Expressway
Olive Garden,True,6402 Reid Ford
Cheesecake Factory,True,248 Aaron Wall Suite 624
Red Lobster,True,1813 Garrett Mill
Cheesecake Factory,True,78936 Lopez Freeway Apt. 599
Tim Hortons,True,5113 Webb Springs
Red Lobster,True,9968 Estes Inlet Suite 797
Subway,True,24104 Melissa Village
Starbucks,True,44769 Alexander Meadow Apt. 850
Little Caesars,True,73551 Lopez Loaf
Starbucks,False,41292 Conway Cape
Chipotle,False,322 Medina River
Chipotle,True,254 Natalie Harbor
Chili's,True,34229 Earl Squares Apt. 712
Texas Roadhouse,True,685 Tom Divide Apt. 622
Pizza Hut,True,685 Tom Divide Apt. 622
Cracker Barrel,True,991 Deborah Crescent
Cracker Barrel,True,389 Michael Drive Suite 565
Subway,False,567 Dean Ways Apt. 733
McDonald's,False,0500 Riley Wells
Five Guys,True,5698 Joel Trail Apt. 253
McDonald's,True,19362 Payne Causeway Suite 534
Burger King,True,8897 Castaneda Way Apt. 829
Cracker Barrel,True,19507 Melissa Street
IHOP,True,18825 Powers Trail
Domino's,True,597 Matthews Dam Apt. 675
Chili's,True,207 Beth Alley
Arby's,False,006 Scott Mountain Suite 766
McDonald's,True,30025 Cynthia Bypass Apt. 688
Chipotle,True,5073 Scott Groves Suite 909
Cracker Barrel,True,150 Tina Shoals Apt. 638
Chili's,False,44769 Alexander Meadow Apt. 850
Applebee's,False,2163 Sarah Inlet Suite 927
Subway,True,66337 Julie Cape Apt. 093
Texas Roadhouse,True,0549 Susan Fields Suite 973
Chick-fil-A,True,556 Kaylee Fords
Pizza Hut,True,6469 Crystal Crossroad
Ruby Tuesday,True,190 Courtney Brook
Domino's,True,082 Corey Coves
IHOP,False,345 Poole Prairie Suite 418
Olive Garden,True,213 Brandon Extensions Suite 945
Chipotle,False,664 Austin Extension
Popeyes,True,9058 Jonathan Via
KFC,True,1673 Townsend Turnpike
TGI Friday's,True,66057 Bradford Ramp
Starbucks,True,000 Carney Circle
Cheesecake Factory,True,20611 Wheeler Pine
Sonic Drive-In,True,5073 Scott Groves Suite 909
Panera Bread,True,92252 Diane Flat
Subway,True,2314 Anderson Coves Suite 102
Arby's,True,970 Smith Wells Suite 905
Arby's,False,8840 Grant Valley Suite 846
Red Lobster,False,598 Thomas Springs
Domino's,True,456 Carrie Dale Apt. 861
Chick-fil-A,False,553 Anderson Ridge Apt. 584
Taco Bell,True,74304 Kevin Trail
TGI Friday's,True,254 Natalie Harbor
Dunkin',True,98184 Knight Underpass
Applebee's,True,6038 Luis Parkways
Chipotle,False,0976 Conway Route Apt. 897
Starbucks,True,3461 Samuel Wells Apt. 182
Tim Hortons,True,150 Tina Shoals Apt. 638
Shake Shack,True,1247 Grace Islands Apt. 246
Red Lobster,True,10865 Michael Ranch Suite 245
TGI Friday's,False,31396 Lauren Lodge
Ruby Tuesday,True,2314 Anderson Coves Suite 102
Arby's,True,85583 Courtney Village Apt. 623
Five Guys,True,007 Tiffany Haven Suite 378
KFC,True,47568 Megan Village Apt. 490
Texas Roadhouse,True,9072 Sherman Loop
Sonic Drive-In,True,1247 Grace Islands Apt. 246
Outback Steakhouse,True,26939 Mathews Throughway Suite 744
Five Guys,False,920 Ashley Club
Five Guys,True,720 Wells Street
Domino's,True,251 Barnett Parks
KFC,True,939 Smith Centers
Olive Garden,True,4876 Williams Harbor Apt. 516
Chipotle,True,8984 Moore Junctions Apt. 841
McDonald's,True,925 Ramirez Road
Dunkin',True,24104 Melissa Village
Taco Bell,True,98184 Knight Underpass
Panera Bread,True,08186 Briggs Path Apt. 893
KFC,True,44067 Thompson Crescent
Chili's,True,8481 Foster Drive
Panera Bread,True,30025 Cynthia Bypass Apt. 688
Texas Roadhouse,True,82905 Douglas Plains Suite 291
Chili's,True,0768 Hector Trace
Applebee's,False,389 Michael Drive Suite 565
Five Guys,True,15565 Jacobs Crest
Wendy's,True,0976 Conway Route Apt. 897
Chick-fil-A,True,8877 Singleton Greens
Red Lobster,True,53104 Lambert Field Suite 907
Arby's,True,47622 Lauren Way
Wendy's,True,97711 Leblanc Plains Apt. 306
Olive Garden,False,455 Stephens Landing
Dunkin',False,8840 Grant Valley Suite 846
Domino's,True,616 Yvette Islands
IHOP,True,6402 Reid Ford
Chipotle,True,74829 Clarke Park
Popeyes,True,6409 Johnson Plaza Suite 999
Little Caesars,True,2845 Miller Harbors Suite 164
Popeyes,True,480 Matthew Ville Suite 854
Taco Bell,True,288 Benjamin Inlet
Domino's,True,000 Carney Circle
Wendy's,True,9465 Karen Estates Apt. 314
Wendy's,True,0768 Hector Trace
Shake Shack,True,757 Valerie Shores
Sonic Drive-In,True,08186 Briggs Path Apt. 893
Sonic Drive-In,True,745 Dana River Suite 513
Applebee's,False,8830 Wise Forest Apt. 322
Dunkin',True,480 Matthew Ville Suite 854
Wendy's,False,898 David Squares
Texas Roadhouse,True,66456 Katherine Place
IHOP,True,198 Dana Junctions
McDonald's,True,457 Bobby Lights Suite 545
Dunkin',True,597 Matthews Dam Apt. 675
Wendy's,True,20611 Wheeler Pine
Shake Shack,True,199 Tamara Forks Suite 830
Taco Bell,True,293 Williams Underpass
KFC,True,943 Williams Flat Apt. 054
Little Caesars,True,53104 Lambert Field Suite 907
Chick-fil-A,True,5113 Webb Springs
Taco Bell,False,68341 Christy Village
Buffalo Wild Wings,True,670 Vanessa Cape
Popeyes,True,845 Jennifer Underpass
Taco Bell,True,9466 Hoffman Divide Suite 684
IHOP,True,74004 Knight Manor
Outback Steakhouse,True,1673 Townsend Turnpike
Olive Garden,True,41292 Conway Cape
IHOP,False,4859 Isaac Squares
Olive Garden,True,861 Gibson Square Apt. 265
Outback Steakhouse,False,34229 Earl Squares Apt. 712
Ruby Tuesday,False,939 Smith Centers
Outback Steakhouse,True,9486 Nancy Keys
Applebee's,True,312 Kristy Glen
Arby's,True,0500 Riley Wells
Arby's,False,66337 Julie Cape Apt. 093
Wendy's,True,22777 Rush Key
McDonald's,False,598 Thomas Springs
Chili's,True,6998 Colton Course Suite 685
Tim Hortons,True,25623 Scott Extensions
Cheesecake Factory,True,925 Ramirez Road
Buffalo Wild Wings,True,30538 Carrie Pike Apt. 628
Domino's,True,8830 Wise Forest Apt. 322
Five Guys,True,2225 Gibson Islands Apt. 616
Taco Bell,True,0769 Michael Springs
TGI Friday's,True,5333 Patrick Route
Burger King,True,039 Johnson Bypass Apt. 537
TGI Friday's,True,000 Kane Expressway
Buffalo Wild Wings,False,454 Darlene Port Apt. 418
TGI Friday's,True,3871 Castaneda Pines Apt. 351
Five Guys,True,32944 Carter River Apt. 361
Applebee's,False,1254 Mason Forks Apt. 495
Chick-fil-A,True,87065 Gallegos Landing Apt. 450
Cheesecake Factory,True,8265 Fischer Tunnel
Texas Roadhouse,True,419 Davis Centers Suite 321
Chick-fil-A,False,74829 Clarke Park
Chick-fil-A,True,362 Caitlin Corners Apt. 661
Five Guys,True,8897 Castaneda Way Apt. 829
Applebee's,True,2483 Walker Road
KFC,True,861 Gibson Square Apt. 265
Wendy's,True,677 Carolyn Way
Domino's,True,358 Dodson Passage
Tim Hortons,True,8877 Singleton Greens
Applebee's,True,54047 Eric Station Apt. 446
Chili's,True,87065 Gallegos Landing Apt. 450
Cheesecake Factory,True,419 Davis Centers Suite 321
Ruby Tuesday,False,9339 Autumn Burg Suite 220
Buffalo Wild Wings,True,869 Jeremy Motorway
Buffalo Wild Wings,True,68341 Christy Village
Little Caesars,True,8446 Swanson Plaza Suite 553
