service_style,restaurant_name,restaurant_address
Food Truck,Chipotle,22777 Rush Key
Takeout,Shake Shack,20131 Bradley Ways
Steakhouse,Dunkin',6561 James Junctions Suite 693
Fine Dining,Shake Shack,517 Gonzalez Orchard
Diner,IHOP,764 Moyer Groves
Bistro,Applebee's,5698 Joel Trail Apt. 253
Seafood,Domino's,039 Johnson Bypass Apt. 537
Ice Cream Parlor,Cracker Barrel,6038 Luis Parkways
Diner,Five Guys,207 Beth Alley
Takeout,Arby's,745 Dana River Suite 513
Gastropub,Sonic Drive-In,4859 Isaac Squares
Seafood,Panera Bread,2894 Kenneth Roads
Pop-up,IHOP,916 West Mountain Apt. 223
Grill,Dunkin',81082 Albert Manors Apt. 771
Ice Cream Parlor,Cracker Barrel,9072 Sherman Loop
Delivery,Burger King,30407 Johnson Road Suite 780
Food Court,Wendy's,007 Tiffany Haven Suite 378
Food Truck,Shake Shack,26939 Mathews Throughway Suite 744
Bistro,Starbucks,42875 Green Rapid
Grill,Subway,85583 Courtney Village Apt. 623
Casual Dining,Taco Bell,1870 Jennifer Village Suite 635
Food Truck,IHOP,042 Donald Circles Apt. 738
Fast Food,Dunkin',31396 Lauren Lodge
Gastropub,Red Lobster,66057 Bradford Ramp
Seafood,Tim Hortons,532 Pugh Wells
Fast Food,Pizza Hut,2845 Miller Harbors Suite 164
Food Truck,Tim Hortons,5112 Campbell Mount
Fast Food,Dunkin',5112 Campbell Mount
Food Court,Subway,358 Dodson Passage
Delivery,Panera Bread,447 Alyssa Radial Apt. 946
Bistro,Popeyes,161 Berry Falls Suite 287
Casual Dining,Subway,2450 Lozano Spring
Seafood,Chipotle,5887 Javier Fort Apt. 356
Food Truck,Domino's,670 Vanessa Cape
Diner,Pizza Hut,209 Erika Land
Fine Dining,Subway,3258 Chase Motorway Apt. 151
Takeout,Little Caesars,849 Barrera Villages
Food Court,Pizza Hut,161 Berry Falls Suite 287
Casual Dining,Tim Hortons,726 Michael Via Suite 090
Ice Cream Parlor,Outback Steakhouse,991 Deborah Crescent
Bistro,Panera Bread,6685 Farley Locks
Delivery,KFC,8984 Moore Junctions Apt. 841
Fine Dining,Pizza Hut,567 Dean Ways Apt. 733
Diner,Red Lobster,278 Price Rest
Food Court,Wendy's,3347 White Street
Gastropub,McDonald's,456 Carrie Dale Apt. 861
Buffet,Subway,55401 Stanley Plaza Suite 740
Delivery,Tim Hortons,00983 Pamela Springs
Food Truck,Sonic Drive-In,616 Yvette Islands
Fine Dining,Outback Steakhouse,51773 Holmes Fords Apt. 149
Seafood,Sonic Drive-In,757 Valerie Shores
Delivery,Shake Shack,00983 Pamela Springs
Fast Food,Dunkin',677 Carolyn Way
Gastropub,Cheesecake Factory,226 Patel Ridge Suite 602
Steakhouse,Cracker Barrel,5314 Mcdonald Throughway
Food Court,Popeyes,45590 Brown Prairie
Steakhouse,Tim Hortons,61988 Tony Isle
Pizzeria,Subway,2163 Sarah Inlet Suite 927
Diner,Pizza Hut,0549 Susan Fields Suite 973
Diner,Cheesecake Factory,6469 Crystal Crossroad
Fast Food,Starbucks,186 Debra Village Suite 696
Grill,KFC,300 Lloyd Causeway
Pop-up,Shake Shack,2894 Kenneth Roads
Seafood,IHOP,471 Holloway Road
Seafood,Little Caesars,3461 Samuel Wells Apt. 182
Delivery,Taco Bell,553 Anderson Ridge Apt. 584
Pizzeria,Chipotle,2265 Christopher Crescent Suite 466
Casual Dining,Cracker Barrel,8162 Carroll Shoals
Steakhouse,Outback Steakhouse,3716 Weiss Mill Apt. 724
Bistro,Popeyes,738 Garner Bypass
Pizzeria,Cracker Barrel,546 Clark Mall
Steakhouse,Outback Steakhouse,491 Jennifer Parkway
Bistro,Little Caesars,62001 Mallory Extension
Food Truck,Popeyes,213 Brandon Extensions Suite 945
Grill,Applebee's,720 Wells Street
Buffet,Sonic Drive-In,0140 Smith Heights Suite 124
Steakhouse,Shake Shack,60267 Howard Street Suite 857
Gastropub,McDonald's,5795 Danielle Ways
Bistro,Panera Bread,52323 Mercer Skyway Apt. 291
Grill,Chick-fil-A,2450 Lozano Spring
Food Court,Buffalo Wild Wings,8707 Doyle Drive Apt. 256
Fine Dining,Chili's,98926 Baker Roads
Food Truck,Outback Steakhouse,3871 Castaneda Pines Apt. 351
Pop-up,Arby's,44067 Thompson Crescent
Bistro,Shake Shack,62001 Mallory Extension
Casual Dining,Popeyes,457 Bobby Lights Suite 545
Pizzeria,Cheesecake Factory,30538 Carrie Pike Apt. 628
Casual Dining,Outback Steakhouse,792 Perez Place
Seafood,McDonald's,82905 Douglas Plains Suite 291
Fast Food,Starbucks,198 Dana Junctions
Takeout,Olive Garden,58655 Warner Divide Suite 874
Pizzeria,Panera Bread,726 Michael Via Suite 090
Barbecue,TGI Friday's,943 Williams Flat Apt. 054
Seafood,TGI Friday's,38536 Richardson Green
Gastropub,KFC,8481 Foster Drive
Bistro,Taco Bell,546 Clark Mall
Seafood,Sonic Drive-In,61988 Tony Isle
Fine Dining,Starbucks,19362 Payne Causeway Suite 534
Steakhouse,TGI Friday's,18669 Jackson Mount Suite 376
Family Style,Ruby Tuesday,55401 Stanley Plaza Suite 740
Fast Food,Little Caesars,54047 Eric Station Apt. 446
Gastropub,Tim Hortons,20131 Bradley Ways
Café,Cracker Barrel,3258 Chase Motorway Apt. 151
Diner,Popeyes,92252 Diane Flat
Café,Little Caesars,2225 Gibson Islands Apt. 616
Diner,Little Caesars,664 Austin Extension
Pop-up,Five Guys,62545 Alexis Underpass Apt. 452
Casual Dining,Starbucks,0324 Claudia Tunnel Apt. 292
Grill,Chili's,447 Alyssa Radial Apt. 946
Takeout,Arby's,590 Bernard Creek Apt. 744
Seafood,Buffalo Wild Wings,88469 Margaret Shore
Bistro,Red Lobster,1870 Jennifer Village Suite 635
Fine Dining,Olive Garden,322 Medina River
Takeout,Starbucks,78936 Lopez Freeway Apt. 599
Steakhouse,Pizza Hut,3600 Tamara Circle Apt. 910
Takeout,Sonic Drive-In,96285 Morrison Dam
Bistro,McDonald's,006 Scott Mountain Suite 766
Gastropub,Pizza Hut,0324 Claudia Tunnel Apt. 292
Fine Dining,Ruby Tuesday,477 Smith Meadow Apt. 029
Café,Cheesecake Factory,12848 Navarro Turnpike Suite 366
Café,KFC,477 Smith Meadow Apt. 029
Bistro,Texas Roadhouse,38536 Richardson Green
Fast Food,Pizza Hut,52323 Mercer Skyway Apt. 291
Barbecue,Red Lobster,18825 Powers Trail
Steakhouse,Red Lobster,3600 Tamara Circle Apt. 910
Seafood,Olive Garden,42875 Green Rapid
Barbecue,Olive Garden,9526 Jones Lodge Apt. 826
Café,Panera Bread,34980 Jones Inlet Apt. 469
Buffet,Chili's,849 Barrera Villages
Fine Dining,Panera Bread,442 Reynolds Expressway
Fine Dining,Olive Garden,6402 Reid Ford
Casual Dining,Cheesecake Factory,248 Aaron Wall Suite 624
Diner,Red Lobster,1813 Garrett Mill
Bistro,Cheesecake Factory,78936 Lopez Freeway Apt. 599
Bistro,Tim Hortons,5113 Webb Springs
Food Truck,Red Lobster,9968 Estes Inlet Suite 797
Pizzeria,Subway,24104 Melissa Village
Gastropub,Starbucks,44769 Alexander Meadow Apt. 850
Grill,Little Caesars,73551 Lopez Loaf
Takeout,Starbucks,41292 Conway Cape
Café,Chipotle,322 Medina River
Takeout,Chipotle,254 Natalie Harbor
Diner,Chili's,34229 Earl Squares Apt. 712
Gastropub,Texas Roadhouse,685 Tom Divide Apt. 622
Diner,Pizza Hut,685 Tom Divide Apt. 622
Diner,Cracker Barrel,991 Deborah Crescent
Buffet,Cracker Barrel,389 Michael Drive Suite 565
Seafood,Subway,567 Dean Ways Apt. 733
Grill,McDonald's,0500 Riley Wells
Pop-up,Five Guys,5698 Joel Trail Apt. 253
Barbecue,McDonald's,19362 Payne Causeway Suite 534
Fast Food,Burger King,8897 Castaneda Way Apt. 829
Buffet,Cracker Barrel,19507 Melissa Street
Casual Dining,IHOP,18825 Powers Trail
Diner,Domino's,597 Matthews Dam Apt. 675
Fast Food,Chili's,207 Beth Alley
Ice Cream Parlor,Arby's,006 Scott Mountain Suite 766
Pizzeria,McDonald's,30025 Cynthia Bypass Apt. 688
Pop-up,Chipotle,5073 Scott Groves Suite 909
Pizzeria,Cracker Barrel,150 Tina Shoals Apt. 638
Diner,Chili's,44769 Alexander Meadow Apt. 850
Food Truck,Applebee's,2163 Sarah Inlet Suite 927
Pizzeria,Subway,66337 Julie Cape Apt. 093
Food Court,Texas Roadhouse,0549 Susan Fields Suite 973
Fast Food,Chick-fil-A,556 Kaylee Fords
Bistro,Pizza Hut,6469 Crystal Crossroad
Barbecue,Ruby Tuesday,190 Courtney Brook
Bistro,Domino's,082 Corey Coves
Seafood,IHOP,345 Poole Prairie Suite 418
Ice Cream Parlor,Olive Garden,213 Brandon Extensions Suite 945
Seafood,Chipotle,664 Austin Extension
Ice Cream Parlor,Popeyes,9058 Jonathan Via
Grill,KFC,1673 Townsend Turnpike
Bistro,TGI Friday's,66057 Bradford Ramp
Casual Dining,Starbucks,000 Carney Circle
Bistro,Cheesecake Factory,20611 Wheeler Pine
Diner,Sonic Drive-In,5073 Scott Groves Suite 909
Ice Cream Parlor,Panera Bread,92252 Diane Flat
Fine Dining,Subway,2314 Anderson Coves Suite 102
Steakhouse,Arby's,970 Smith Wells Suite 905
Food Court,Arby's,8840 Grant Valley Suite 846
Bistro,Red Lobster,598 Thomas Springs
Food Court,Domino's,456 Carrie Dale Apt. 861
Grill,Chick-fil-A,553 Anderson Ridge Apt. 584
Food Truck,Taco Bell,74304 Kevin Trail
Diner,TGI Friday's,254 Natalie Harbor
Casual Dining,Dunkin',98184 Knight Underpass
Ice Cream Parlor,Applebee's,6038 Luis Parkways
Pizzeria,Chipotle,0976 Conway Route Apt. 897
Pizzeria,Starbucks,3461 Samuel Wells Apt. 182
Buffet,Tim Hortons,150 Tina Shoals Apt. 638
Bistro,Shake Shack,1247 Grace Islands Apt. 246
Bistro,Red Lobster,10865 Michael Ranch Suite 245
Fine Dining,TGI Friday's,31396 Lauren Lodge
Steakhouse,Ruby Tuesday,2314 Anderson Coves Suite 102
Pop-up,Arby's,85583 Courtney Village Apt. 623
Delivery,Five Guys,007 Tiffany Haven Suite 378
Seafood,KFC,47568 Megan Village Apt. 490
Family Style,Texas Roadhouse,9072 Sherman Loop
Grill,Sonic Drive-In,1247 Grace Islands Apt. 246
Gastropub,Outback Steakhouse,26939 Mathews Throughway Suite 744
Gastropub,Five Guys,920 Ashley Club
Delivery,Five Guys,720 Wells Street
Grill,Domino's,251 Barnett Parks
Family Style,KFC,939 Smith Centers
Café,Olive Garden,4876 Williams Harbor Apt. 516
Pop-up,Chipotle,8984 Moore Junctions Apt. 841
Takeout,McDonald's,925 Ramirez Road
Pop-up,Dunkin',24104 Melissa Village
Pop-up,Taco Bell,98184 Knight Underpass
Pizzeria,Panera Bread,08186 Briggs Path Apt. 893
Family Style,KFC,44067 Thompson Crescent
Seafood,Chili's,8481 Foster Drive
Fast Food,Panera Bread,30025 Cynthia Bypass Apt. 688
Food Truck,Texas Roadhouse,82905 Douglas Plains Suite 291
Casual Dining,Chili's,0768 Hector Trace
Pop-up,Applebee's,389 Michael Drive Suite 565
Steakhouse,Five Guys,15565 Jacobs Crest
Gastropub,Wendy's,0976 Conway Route Apt. 897
Buffet,Chick-fil-A,8877 Singleton Greens
Steakhouse,Red Lobster,53104 Lambert Field Suite 907
Gastropub,Arby's,47622 Lauren Way
Gastropub,Wendy's,97711 Leblanc Plains Apt. 306
Pop-up,Olive Garden,455 Stephens Landing
Diner,Dunkin',8840 Grant Valley Suite 846
Diner,Domino's,616 Yvette Islands
Pizzeria,IHOP,6402 Reid Ford
Steakhouse,Chipotle,74829 Clarke Park
Fast Food,Popeyes,6409 Johnson Plaza Suite 999
Café,Little Caesars,2845 Miller Harbors Suite 164
Food Court,Popeyes,480 Matthew Ville Suite 854
Takeout,Taco Bell,288 Benjamin Inlet
Bistro,Domino's,000 Carney Circle
Seafood,Wendy's,9465 Karen Estates Apt. 314
Food Court,Wendy's,0768 Hector Trace
Fine Dining,Shake Shack,757 Valerie Shores
Buffet,Sonic Drive-In,08186 Briggs Path Apt. 893
Family Style,Sonic Drive-In,745 Dana River Suite 513
Takeout,Applebee's,8830 Wise Forest Apt. 322
Buffet,Dunkin',480 Matthew Ville Suite 854
Ice Cream Parlor,Wendy's,898 David Squares
Diner,Texas Roadhouse,66456 Katherine Place
Pop-up,IHOP,198 Dana Junctions
Grill,McDonald's,457 Bobby Lights Suite 545
Food Court,Dunkin',597 Matthews Dam Apt. 675
Takeout,Wendy's,20611 Wheeler Pine
Diner,Shake Shack,199 Tamara Forks Suite 830
Fine Dining,Taco Bell,293 Williams Underpass
Casual Dining,KFC,943 Williams Flat Apt. 054
Diner,Little Caesars,53104 Lambert Field Suite 907
Delivery,Chick-fil-A,5113 Webb Springs
Family Style,Taco Bell,68341 Christy Village
Food Court,Buffalo Wild Wings,670 Vanessa Cape
Food Truck,Popeyes,845 Jennifer Underpass
Bistro,Taco Bell,9466 Hoffman Divide Suite 684
Buffet,IHOP,74004 Knight Manor
Diner,Outback Steakhouse,1673 Townsend Turnpike
Fine Dining,Olive Garden,41292 Conway Cape
Fast Food,IHOP,4859 Isaac Squares
Fine Dining,Olive Garden,861 Gibson Square Apt. 265
Ice Cream Parlor,Outback Steakhouse,34229 Earl Squares Apt. 712
Café,Ruby Tuesday,939 Smith Centers
Delivery,Outback Steakhouse,9486 Nancy Keys
Family Style,Applebee's,312 Kristy Glen
Diner,Arby's,0500 Riley Wells
Fast Food,Arby's,66337 Julie Cape Apt. 093
Fast Food,Wendy's,22777 Rush Key
Buffet,McDonald's,598 Thomas Springs
Fine Dining,Chili's,6998 Colton Course Suite 685
Family Style,Tim Hortons,25623 Scott Extensions
Pop-up,Cheesecake Factory,925 Ramirez Road
Food Truck,Buffalo Wild Wings,30538 Carrie Pike Apt. 628
Gastropub,Domino's,8830 Wise Forest Apt. 322
Delivery,Five Guys,2225 Gibson Islands Apt. 616
Diner,Taco Bell,0769 Michael Springs
Food Court,TGI Friday's,5333 Patrick Route
Food Court,Burger King,039 Johnson Bypass Apt. 537
Pop-up,TGI Friday's,000 Kane Expressway
Buffet,Buffalo Wild Wings,454 Darlene Port Apt. 418
Food Truck,TGI Friday's,3871 Castaneda Pines Apt. 351
Food Court,Five Guys,32944 Carter River Apt. 361
Diner,Applebee's,1254 Mason Forks Apt. 495
Gastropub,Chick-fil-A,87065 Gallegos Landing Apt. 450
Takeout,Cheesecake Factory,8265 Fischer Tunnel
Fast Food,Texas Roadhouse,419 Davis Centers Suite 321
Grill,Chick-fil-A,74829 Clarke Park
Food Court,Chick-fil-A,362 Caitlin Corners Apt. 661
Steakhouse,Five Guys,8897 Castaneda Way Apt. 829
Grill,Applebee's,2483 Walker Road
Steakhouse,KFC,861 Gibson Square Apt. 265
Pizzeria,Wendy's,677 Carolyn Way
Barbecue,Domino's,358 Dodson Passage
Diner,Tim Hortons,8877 Singleton Greens
Barbecue,Applebee's,54047 Eric Station Apt. 446
Pop-up,Chili's,87065 Gallegos Landing Apt. 450
Pop-up,Cheesecake Factory,419 Davis Centers Suite 321
Fast Food,Ruby Tuesday,9339 Autumn Burg Suite 220
Diner,Buffalo Wild Wings,869 Jeremy Motorway
Food Truck,Buffalo Wild Wings,68341 Christy Village
Ice Cream Parlor,Little Caesars,8446 Swanson Plaza Suite 553
